# Copyright 2014. Michael A. DeJesus & Thomas R. Ioerger
# Version 1.21; http://saclab.tamu.edu/essentiality/
#
#Command used:	python /cbcb/sw/RedHat-7-x86_64/common/local/essentiality/1.0/bin/gumbelMH.py -f outputs/essentiality/hpgl0865-v0M1_gene_tas.txt -m 8 -s 1000
#FDR Corrected thresholds: 0.993 0.031
#MH Acceptance-Rate:	33.39%
#Total Iterations Performed:	22968
#Sample Size:	1000
#phi estimate:	0.814507
#Orf	k	n	r	s	zbar	Call
cds_SP5448_01590	1	52	47	646	0.978000	U
cds_SP5448_01595	6	39	15	142	0.001000	NE
cds_SP5448_01600	3	70	56	823	0.993000	U
cds_SP5448_01605	3	13	5	75	0.000000	NE
cds_SP5448_01610	15	66	10	142	0.001000	NE
cds_SP5448_01615	10	53	21	280	0.033000	U
cds_SP5448_01620	25	103	13	140	0.001000	NE
cds_SP5448_01625	5	48	19	261	0.013000	NE
cds_SP5448_01630	9	60	17	270	0.004000	NE
cds_SP5448_01635	1	25	24	502	0.780000	U
cds_SP5448_01640	10	45	11	140	0.001000	NE
cds_SP5448_01645	11	44	12	236	0.001000	NE
cds_SP5448_01650	3	13	7	158	0.001000	NE
cds_SP5448_01655	8	32	12	130	0.001000	NE
cds_SP5448_01660	1	18	16	154	0.082000	U
cds_SP5448_01665	23	158	20	310	0.017000	NE
cds_SP5448_01670	13	57	13	159	0.001000	NE
cds_SP5448_01675	11	94	43	598	0.861000	U
cds_SP5448_01680	2	60	27	348	0.394000	U
cds_SP5448_01685	12	69	12	176	0.001000	NE
cds_SP5448_01690	4	59	18	237	0.001000	NE
cds_SP5448_01695	11	72	10	112	0.001000	NE
cds_SP5448_01700	14	142	47	798	0.873000	U
cds_SP5448_01705	12	61	10	102	0.001000	NE
cds_SP5448_01710	6	43	15	143	0.001000	NE
cds_SP5448_01715	32	147	12	173	0.001000	NE
cds_SP5448_01720	0	44	44	594	0.971000	U
cds_SP5448_01725	0	74	74	903	1.000000	E
cds_SP5448_01730	3	22	9	128	0.001000	NE
cds_SP5448_01735	0	51	51	544	0.991000	U
cds_SP5448_01740	21	181	55	596	0.871000	U
cds_SP5448_01745	6	54	21	223	0.001000	NE
cds_SP5448_01750	0	19	19	307	0.945000	U
cds_SP5448_01755	13	51	10	116	0.001000	NE
cds_SP5448_01760	19	84	13	180	0.001000	NE
cds_SP5448_01765	6	24	6	50	0.000000	NE
cds_SP5448_01770	0	13	13	285	0.914000	U
cds_SP5448_01775	2	31	18	236	0.003000	NE
cds_SP5448_01780	0	16	16	207	0.944000	U
cds_SP5448_01785	4	39	11	204	0.001000	NE
cds_SP5448_01790	2	59	46	693	0.969000	U
cds_SP5448_01795	30	164	31	453	0.116000	U
cds_SP5448_01800	14	65	11	161	0.001000	NE
cds_SP5448_01805	7	26	6	96	0.000000	NE
cds_SP5448_01810	1	31	22	423	0.610000	U
